ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.745071229516849,258.5099354598302,23973.970234592343,8.04504153288478,385.83340711969214,306.18201487787576,11.823467328158982,99.251321641686,1.933838631271517,1
6.792603548243223,206.71482486238963,12525.443460417879,5.693725220140118,137.13508754814802,435.7162585701271,10.182504697419741,51.887767205012096,5.127858573662173,0
7.971532807151039,203.9798931188018,17194.979465883825,4.962389604818573,164.84131657094133,310.4052996411221,3.0749560101451063,34.82765176498771,1.692012258960509,1
9.284544784612038,227.70288855579537,5971.338427921453,5.37062869352466,431.85487164399984,427.10342528612443,14.094452187977453,65.64596250935975,1.5184046103900164,1
6.648769937914996,,18918.61009608583,6.089315153709375,295.31615448052173,,22.596890914759765,29.09604951443614,9.417193406441642,1
6.648794564576229,201.50157395820412,31121.006192213383,6.292282074359792,251.21419263677592,187.6621461601772,18.650400462687987,61.67654471947074,10.0,0
9.368819223261088,92.38082276954098,26852.90084710968,,477.0845621075548,430.66197869819223,16.138545592379792,61.580875620596295,4.280127738380214,1
8.151152093729364,243.82278227514678,34020.09325919122,9.109241256974636,,414.8463681546889,11.329975028554244,0.0,2.2370692968619346,0
6.295788421097572,121.92533887790702,16971.14756201007,9.049548224563456,437.20901955337837,451.7757815708841,19.986696128795387,85.9190549123353,,0
7.8138400653789475,275.17099142144997,33460.997945142575,9.337160728546763,333.37579276791695,332.70127808347434,14.403453440984876,64.51930699956038,3.636411534137476,0
6.304873460781307,,18066.9577355203,,617.9628693900003,322.0455524640623,22.874671568945292,105.45689358315806,6.155146847239827,0
6.301405369644614,189.41665090344117,34715.85082569894,4.555270770025522,289.5486139440205,440.14668584815456,10.094563683526594,76.46595939382247,3.5626412750638448,0
7.362943407349051,168.61330469577473,,4.786259416931887,524.4495549359888,551.9019572530981,11.250152360136719,92.06825710946644,3.5908836252828467,1
,185.5980563038962,27072.313738042765,9.669012266675676,343.8633959900087,401.11680095063275,10.763650278901858,105.7011625962113,1.5495030713043332,0
,270.9265672574018,34751.12364309856,,184.5489605087254,442.4585096047145,7.589408147829935,66.04848751687761,2.3816759120391793,0
6.1565687061385415,75.60956717324603,18065.723714187945,4.497287635521426,398.28487457481083,367.8412315574293,,69.97530433408295,3.0226101623474833,0
5.480753319498364,263.84826930440937,22183.889875441742,6.138007599560374,381.47625614551634,245.63694781263152,15.516081298829588,22.793703298293046,5.1497034164480375,0
,216.90117405508542,32888.63425206302,6.522788936570745,244.867818576077,496.7429419154058,11.438994875746863,107.18613235702725,2.089029903523393,1
5.637963886718183,139.64891760713923,18669.968360699364,7.536826547389124,257.7780722865285,490.8414239086162,0.0,65.62907800835336,10.0,0
,146.2343803475381,,7.501902041424086,347.53023569150076,471.07740251751943,20.37136648710061,39.828083489560555,3.4998503950316047,1
9.19847315338233,283.81965136041015,41430.0705458491,5.343638872252984,384.9747815247982,381.80545616575813,6.579531353262972,92.19167459462282,1.0371918166252645,0
6.661335549270197,,,8.371312785027422,,459.70560997385405,17.946141424433186,4.606564241072448,2.764325390268153,1
7.101292307031886,,21587.560509375428,5.721612932499684,455.3121452523803,489.3761797387831,15.156072948347823,57.12177331380465,5.699647575490827,1
4.862877720679815,256.86572711823646,31560.066694511268,6.687447326589914,300.5502026185022,562.0158684956707,25.586864082101712,97.24933123635523,2.8200915317623942,0
6.183425913212226,216.92764381429572,13915.060962687981,8.37354814100671,,498.8526104647442,19.984787407613098,56.86834444102284,1.5344398734027878,0
7.166383884564799,153.10372117318005,9921.320867778699,5.716357192111317,444.1066551451931,406.3821225033639,12.476977022575129,,2.484148553334632,1
5.273509633866546,210.83124877023096,22537.37296774833,5.861297152837725,,269.17467445756284,11.48968218822344,57.51535608661149,2.057274689854182,1
,148.71236581798615,2069.2360208761056,8.183336099386262,471.61657767822544,415.56582976717414,22.513638403996428,9.702122065942788,,0
6.099041965121793,255.04106992113026,17120.939231320797,5.284533646789961,,425.65773958493077,7.620644514492941,91.464352953491,2.001115614502344,0
6.562459375310085,253.06854824365666,22450.38664315406,6.230415952791859,349.8485497051954,470.9029775318304,15.954399679593541,66.31341874069261,0.5691577102306319,1
6.097440081655905,226.60030994109715,17300.481031748357,,334.72700550198437,535.3891859323426,14.344397683751641,61.83026170015714,1.8836419455523639,0
9.778417276763406,218.0830530623508,4565.49056814253,11.10818488287195,398.2712760556138,390.48494879432207,13.283869656476622,61.93994150772876,7.0047148556298735,0
6.979754162893099,288.0594062433687,35941.77956204012,8.210809009525493,,610.0987189813111,16.767569922242128,70.42239395393753,4.885936454116815,1
5.41343360656615,199.98431636941126,21035.381539491755,7.945279525980023,264.74274112535005,224.07129799594227,15.947799302543379,89.603121120162,0.7260693775458985,0
,140.90629372895995,34311.52117761741,8.06160316734546,,,17.287003713958722,68.43809376402253,,0
5.168734525043467,222.47369564161534,17399.637498195552,4.853619451865901,335.5512158555571,320.1479607815972,15.69487826181642,29.150903554605634,7.888095871227251,0
7.313295392507133,304.3023524768557,11199.88018309236,7.231193477359816,,209.2778000311197,17.088407025086237,,5.274452030645361,1
4.060494814180337,149.2620253407074,22691.809202551598,6.940467023327196,458.9379836154608,379.82256237008414,15.466825964657973,84.9570907301268,1.645644886527227,1
5.007720926652354,181.92686166530072,17842.128736717805,,338.6123392264259,254.28273015790435,,,7.068955205626723,0
7.295291853803685,220.82230190507264,,7.233016104951742,351.5033925541791,,15.020006301182978,102.25723920883956,2.9972544429876535,1
8.107699869993116,197.30475754971303,34697.842587874955,,290.0350488549068,403.4769248094457,11.4280672014799,70.91136029238876,2.013181766494023,1
7.257052421784956,150.88482098113428,13777.297771060039,6.377065610201597,393.07399339818505,511.8541409335949,,103.34128266967767,3.003796934645083,1
6.826527576417639,256.09289281152354,1597.336152044314,7.1172178347435855,384.9827912680088,249.24148652360626,13.319249986411242,112.2163306443519,,1
6.548344456616067,316.00203610086294,33281.66053957333,4.544342867886016,,490.84451656457725,14.402884196320787,87.46938656573448,5.26650642229172,0
4.782217014448859,209.80657295119536,14957.019841873767,6.3601854439941725,292.08711629931236,409.8080450279794,15.176126531739055,47.56199134366189,3.9372056653371468,1
5.920233687407937,154.7965855132,13921.761073843758,9.781667096353287,304.2183030409814,502.88491536095944,19.58189413681665,66.07642844492678,3.333175200303642,0
6.309041843560319,122.55197374732624,2346.12412970026,7.637616679256512,429.2137399145469,356.8248824968872,12.507679587295783,107.16568102175123,,1
8.585683339328373,212.89879906105904,37409.41486596991,6.958157925233846,375.22130033628633,266.7755413236555,15.984259632374103,25.071164017914796,4.8938410864541035,0
7.515427434352692,255.1938671658129,7105.194127903125,10.792246552508693,259.37818738073054,278.2500673784134,,58.24138995464174,4.013343820220916,1
4.355439766955899,223.75838732476907,20584.4948070565,4.278330043397842,480.65540677345007,270.81925463328844,11.956858562669675,59.71105490659768,5.174328094580673,0
7.486125954092192,199.8798079540573,29126.203225404402,4.7810888891075605,180.15494315997492,447.7814152920655,,44.04368198938799,3.1772778564884905,1
6.422376579375525,170.53641741053468,24217.16933003097,10.425422822552544,428.4284753263752,547.69220222147,20.01360707588657,96.18636849756359,5.573481296712752,0
